id,no_mask,yes_mask 
19179,0.409,0.591
19181,0.418,0.582
19183,0.26,0.74
19185,0.538,0.462
19187,0.537,0.463
19189,0.575,0.425
19191,0.317,0.682
19193,0.415,0.585
19195,0.518,0.482
19197,0.644,0.357
20001,0.491,0.508
20003,0.389,0.611
20005,0.428,0.572
20007,0.334,0.665
20009,0.358,0.641
20011,0.39,0.61
20013,0.421,0.579
20015,0.308,0.692
20017,0.445,0.556
20019,0.45,0.551
20021,0.416,0.584
20023,0.509,0.491
20025,0.419,0.58
20027,0.265,0.736
20029,0.349,0.651
20031,0.369,0.631
20033,0.384,0.617
20035,0.448,0.552
20037,0.369,0.631
20039,0.492,0.508
20041,0.372,0.628
20043,0.514,0.486
20045,0.039,0.961
20047,0.273,0.727
20049,0.406,0.594
20051,0.532,0.468
20053,0.44,0.56
20055,0.418,0.582
20057,0.37,0.631
20059,0.282,0.718
20061,0.231,0.769
20063,0.563,0.438
20065,0.621,0.379
20067,0.398,0.601
20069,0.396,0.604
20071,0.447,0.552
20073,0.369,0.632
20075,0.415,0.585
20077,0.407,0.593
20079,0.254,0.746
20081,0.397,0.603
20083,0.364,0.637
20085,0.287,0.713
20087,0.185,0.816
20089,0.4,0.599
20091,0.123,0.878
20093,0.425,0.575
20095,0.407,0.592
20097,0.297,0.702
20099,0.382,0.618
20101,0.469,0.53
20103,0.314,0.686
20105,0.463,0.538
20107,0.314,0.685
20109,0.531,0.469
20111,0.357,0.644
20113,0.291,0.709
20115,0.378,0.622
20117,0.33,0.67
20119,0.402,0.597
20121,0.21,0.79
20123,0.433,0.568
20125,0.398,0.602
20127,0.352,0.648
20129,0.377,0.623
20131,0.332,0.668
20133,0.457,0.543
20135,0.432,0.569
20137,0.501,0.5
20139,0.196,0.804
20141,0.57,0.429
20143,0.412,0.587
20145,0.286,0.714
20147,0.52,0.48
20149,0.214,0.786
20151,0.304,0.696
20153,0.511,0.488
20155,0.355,0.645
20157,0.332,0.668
20159,0.349,0.651
20161,0.204,0.796
20163,0.617,0.383
20165,0.414,0.586
20167,0.508,0.492
20169,0.434,0.566
20171,0.477,0.523
20173,0.241,0.759
20175,0.37,0.629
20177,0.182,0.817
20179,0.579,0.421
20181,0.529,0.471
20183,0.487,0.514
20185,0.275,0.724
20187,0.397,0.604
20189,0.366,0.633
20191,0.258,0.742
20193,0.553,0.447
20195,0.574,0.428
20197,0.208,0.792
20199,0.492,0.508
20201,0.334,0.666
20203,0.469,0.532
20205,0.418,0.582
20207,0.438,0.561
20209,0.157,0.843
21001,0.358,0.642
21003,0.27,0.73
21005,0.116,0.884
21007,0.338,0.661
21009,0.236,0.764
21011,0.218,0.782
21013,0.36,0.639
21015,0.248,0.752
21017,0.103,0.898
21019,0.411,0.589
21021,0.241,0.759
21023,0.37,0.63
21025,0.321,0.679
21027,0.346,0.655
21029,0.284,0.716
21031,0.296,0.705
21033,0.386,0.615
21035,0.398,0.602
21037,0.292,0.708
21039,0.337,0.664
21041,0.446,0.554
21043,0.293,0.707
21045,0.401,0.598
21047,0.356,0.644
21049,0.286,0.713
21051,0.4,0.6
21053,0.459,0.54
21055,0.528,0.472
21057,0.397,0.603
21059,0.234,0.767
21061,0.198,0.803
21063,0.268,0.732
21065,0.323,0.677
21067,0.148,0.852
21069,0.212,0.789
21071,0.326,0.674
21073,0.266,0.735
21075,0.404,0.597
21077,0.322,0.677
21079,0.183,0.816
21081,0.286,0.714
21083,0.438,0.562
21085,0.219,0.781
21087,0.266,0.735
21089,0.429,0.57
21091,0.22,0.781
21093,0.225,0.775
21095,0.267,0.732
21097,0.148,0.851
21099,0.205,0.795
21101,0.269,0.73
21103,0.349,0.652
21105,0.383,0.617
21107,0.281,0.719
21109,0.343,0.656
21111,0.167,0.832
21113,0.162,0.838
21115,0.261,0.739
21117,0.254,0.745
21119,0.36,0.639
21121,0.363,0.636
21123,0.217,0.783
21125,0.331,0.669
21127,0.397,0.604
21129,0.327,0.672
21131,0.339,0.661
21133,0.255,0.746
21135,0.348,0.653
21137,0.319,0.681
21139,0.47,0.53
21141,0.279,0.721
21143,0.478,0.522
21145,0.375,0.625
21147,0.355,0.644
21149,0.293,0.708
21151,0.296,0.704
21153,0.296,0.704
21155,0.202,0.798
21157,0.424,0.575
21159,0.259,0.741
21161,0.236,0.763
21163,0.287,0.713
21165,0.316,0.683
21167,0.237,0.762
21169,0.291,0.709
21171,0.401,0.598
21173,0.156,0.844
21175,0.32,0.68
21177,0.312,0.688
21179,0.207,0.792
21181,0.138,0.862
21183,0.318,0.682
21185,0.162,0.838
21187,0.244,0.756
21189,0.336,0.664
21191,0.259,0.742
21193,0.327,0.673
21195,0.307,0.693
21197,0.313,0.687
21199,0.349,0.651
21201,0.21,0.79
21203,0.369,0.631
21205,0.303,0.698
21207,0.429,0.571
21209,0.16,0.84
21211,0.253,0.748
21213,0.365,0.634
21215,0.137,0.863
21217,0.257,0.743
21219,0.34,0.66
21221,0.25,0.749
21223,0.441,0.559
21225,0.519,0.481
21227,0.206,0.794
21229,0.217,0.783
21231,0.413,0.586
21233,0.339,0.661
21235,0.351,0.65
21237,0.349,0.651
21239,0.108,0.891
22001,0.371,0.627
22003,0.384,0.616
22005,0.283,0.717
22007,0.326,0.674
22009,0.295,0.705
22011,0.324,0.677
22013,0.3,0.7
22015,0.308,0.693
22017,0.295,0.706
22019,0.318,0.683
22021,0.261,0.739
22023,0.295,0.706
22025,0.252,0.747
22027,0.254,0.746
22029,0.326,0.674
22031,0.242,0.758
22033,0.173,0.825
22035,0.189,0.811
22037,0.215,0.786
22039,0.403,0.598
22041,0.279,0.721
22043,0.236,0.764
22045,0.281,0.72
22047,0.166,0.834
22049,0.326,0.673
22051,0.141,0.859
22053,0.45,0.55
22055,0.25,0.75
22057,0.276,0.724
22059,0.206,0.794
22061,0.293,0.707
22063,0.247,0.753
22065,0.211,0.789
22067,0.268,0.732
22069,0.272,0.728
22071,0.14,0.86
22073,0.295,0.705
22075,0.265,0.735
22077,0.194,0.806
22079,0.239,0.76
22081,0.284,0.716
22083,0.272,0.728
22085,0.291,0.709
22087,0.246,0.754
22089,0.168,0.832
22091,0.328,0.671
22093,0.335,0.664
22095,0.345,0.656
22097,0.286,0.714
22099,0.275,0.726
22101,0.265,0.734
22103,0.178,0.822
22105,0.241,0.759
22107,0.242,0.759
22109,0.26,0.74
22111,0.319,0.68
22113,0.279,0.72
22115,0.303,0.697
22117,0.297,0.703
22119,0.241,0.759
22121,0.154,0.846
22123,0.209,0.791
22125,0.239,0.761
22127,0.322,0.679
23001,0.223,0.776
23003,0.31,0.69
23005,0.149,0.851
23007,0.26,0.74
23009,0.204,0.796
23011,0.215,0.785
23013,0.128,0.873
23015,0.11,0.892
23017,0.198,0.802
23019,0.194,0.806
23021,0.331,0.668
23023,0.12,0.88
23025,0.272,0.728
23027,0.233,0.767
23029,0.184,0.816
23031,0.173,0.828
24001,0.052,0.949
24003,0.107,0.893
24005,0.08,0.919
24009,0.169,0.83
24011,0.061,0.938
24013,0.084,0.916
24015,0.081,0.92
24017,0.176,0.824
24019,0.037,0.963
24021,0.126,0.875
24023,0.125,0.876
24025,0.054,0.946
24027,0.106,0.893
24029,0.079,0.921
24031,0.095,0.905
24033,0.185,0.814
24035,0.085,0.914
24037,0.085,0.915
24039,0.061,0.94
24041,0.03,0.97
24043,0.163,0.836
24045,0.08,0.92
24047,0.049,0.952
24510,0.119,0.881
25001,0.052,0.948
25003,0.083,0.916
25005,0.092,0.908
25007,0.053,0.946
25009,0.08,0.919
25011,0.082,0.918
25013,0.085,0.916
25015,0.034,0.966
25017,0.075,0.925
25019,0.052,0.948
25021,0.07,0.93
25023,0.076,0.924
25025,0.076,0.924
25027,0.09,0.91
26001,0.244,0.756
26003,0.177,0.824
26005,0.218,0.783
26007,0.209,0.792
26009,0.157,0.843
26011,0.264,0.736
26013,0.184,0.815
26015,0.285,0.715
26017,0.172,0.829
26019,0.121,0.879
26021,0.198,0.802
26023,0.368,0.633
26025,0.262,0.737
26027,0.245,0.754
26029,0.169,0.831
26031,0.165,0.836
26033,0.12,0.88
26035,0.178,0.822
26037,0.135,0.866
26039,0.154,0.847
26041,0.251,0.749
26043,0.235,0.765
26045,0.233,0.767
26047,0.162,0.837
26049,0.179,0.821
26051,0.158,0.841
26053,0.242,0.758
26055,0.127,0.872
26057,0.236,0.765
26059,0.329,0.671
26061,0.215,0.786
26063,0.184,0.815
26065,0.168,0.832
26067,0.377,0.623
